date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2017-01-01 00:00:00,27.8,20.8,33.4,,,,7,,,
2017-01-02 00:00:00,28,,,,,,6.8,,1013.1,
2017-01-03 00:00:00,26.7,,32.6,,,,5.1,,,
2017-01-04 00:00:00,25.3,,,,,,7.2,,1011,
2017-01-05 00:00:00,25.8,,,,,,7.8,,,
2017-01-06 00:00:00,26.7,,,,,,5.1,,,
2017-01-07 00:00:00,27.6,,33.5,,,,,,,
2017-01-08 00:00:00,26.7,19.5,34.3,,,,,,,
2017-01-09 00:00:00,27.1,,34.5,,,,,,,
2017-01-10 00:00:00,,,,,,,,,,
2017-01-11 00:00:00,27.3,,,,,,6.5,,,
2017-01-12 00:00:00,25.8,,,,,,6,,,
2017-01-13 00:00:00,24,17.2,31.5,,,,5.5,,1010.2,
2017-01-14 00:00:00,24.2,,31,,,,7.1,,1011.3,
2017-01-15 00:00:00,24,,,,,,6.8,,,
2017-01-16 00:00:00,24.3,,,,,,6.3,,1012.1,
2017-01-17 00:00:00,25.4,,34,,,,6.2,,,
2017-01-18 00:00:00,,,,,,,,,,
2017-01-19 00:00:00,27,,,,,,8.4,,,
2017-01-20 00:00:00,26.4,,,,,,6.4,,,
2017-01-21 00:00:00,28.2,20.6,34.6,,,,,,,
2017-01-22 00:00:00,,,,,,,,,,
2017-01-23 00:00:00,27.5,20.5,33.8,,,,,,,
2017-01-24 00:00:00,27.3,20,33.8,,,,6,,1015.1,
2017-01-25 00:00:00,27.1,,,,,,8,,,
2017-01-26 00:00:00,26.8,19.7,34.4,,,,,,,
2017-01-27 00:00:00,27,,,,,,7.8,,,
2017-01-28 00:00:00,27.4,23,34,,,,9.1,,,
2017-01-29 00:00:00,,,,,,,,,,
2017-01-30 00:00:00,26.4,,34.5,,,,,,,
2017-01-31 00:00:00,,,,,,,,,,
2017-02-01 00:00:00,,,,,,,,,,
2017-02-02 00:00:00,28.7,,35.2,,,,6.4,,,
2017-02-03 00:00:00,,,,,,,,,,
2017-02-04 00:00:00,27.6,,,,,,8.1,,1011.8,
2017-02-05 00:00:00,27.2,18.8,35.6,,,,,,,
2017-02-06 00:00:00,26.8,,,,,,8.8,,,
2017-02-07 00:00:00,26.7,,,,,,8.6,,1011.4,
2017-02-08 00:00:00,25.9,,,,,,7.2,,1011.9,
2017-02-09 00:00:00,28.4,,33.6,,,,,,,
2017-02-10 00:00:00,,,,,,,,,,
2017-02-11 00:00:00,27.4,,,,,,,,,
2017-02-12 00:00:00,,,,,,,,,,
2017-02-13 00:00:00,27.4,,,,,,6.3,,,
2017-02-14 00:00:00,27.3,,,,,,6.3,,,
2017-02-15 00:00:00,27.1,,,,,,6.9,,,
2017-02-16 00:00:00,27.8,,,,,,6.9,,,
2017-02-17 00:00:00,27.3,20,34.5,,,,6,,,
2017-02-18 00:00:00,28.7,21.3,35.8,,,,,,,
2017-02-19 00:00:00,28.1,21.4,35.5,,,,8,,1012.2,
2017-02-20 00:00:00,,,,,,,,,,
2017-02-21 00:00:00,,,,,,,,,,
2017-02-22 00:00:00,,,,,,,,,,
